trialOrderFile,im_fName,key_correct,im_type,im_familiarity,loop_waitScanner.thisRepN,loop_waitScanner.thisTrialN,loop_waitScanner.thisN,loop_waitScanner.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,txt_checkLeft.started,txt_checkLeft.stopped,key_checkLeft.keys,key_checkLeft.rt,key_checkLeft.started,key_checkLeft.stopped,time_expBegin,txt_checkRight.started,txt_checkRight.stopped,key_checkRight.keys,key_checkRight.rt,key_checkRight.started,key_checkRight.stopped,str_keyInst.started,str_keyInst.stopped,key_moveToWaitScanner.keys,key_moveToWaitScanner.rt,key_moveToWaitScanner.started,key_moveToWaitScanner.stopped,str_waitScanner.started,str_waitScanner.stopped,time_vol1,str_fixRest.started,str_fixRest.stopped,str_bangRest.started,str_bangRest.stopped,time_restBegin,time_restEnd,time_trialBegin,im_trialImage.started,im_trialImage.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,str_fixITI.started,str_fixITI.stopped,time_trialEnd,str_end.started,str_end.stopped,key_end.keys,key_end.rt,key_end.started,key_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,27.033568214417755,None,1,1.0986366820052353,27.033568214417755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P025_real,2023_Jul_27_1417,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.83049836913203,
,,,,,,,,,,,,,,,,,,,,,,,1.0263607691740617e-05,28.151000359537647,None,2,0.5931416091589199,28.151000359537647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P025_real,2023_Jul_27_1417,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.83049836913203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.76904769902285,None,1,5.236111784985042,28.76904769902285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P025_real,2023_Jul_27_1417,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.83049836913203,
scan_order1.xlsx,cl001.jpg,2,scene,familiar,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,70.33892015660422,None,44.12338223786537,71.13857424195521,82.64455077126331,82.6219969619724,None,44.123411162574484,56.1186588016335,56.13198282929807,83.17027883420269,None,2,1,1.4273489041570429,83.17027883420269,None,85.13649259589693,None,58.62662802574232,,,,,,,P025_real,2023_Jul_27_1417,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.83049836913203,
scan_order1.xlsx,cl002.jpg,1,animal,familiar,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.626948996718056,85.65504111041082,None,1,1,0.6115532755829918,85.65504111041082,None,87.63618717584177,None,61.13218872346806,,,,,,,P025_real,2023_Jul_27_1417,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.83049836913203,
scan_order1.xlsx,cl003.jpg,2,scene,familiar,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.132462108629625,88.16906679555177,None,2,1,0.713569172354255,88.16906679555177,None,90.14430351164629,None,63.63239026338306,,,,,,,P025_real,2023_Jul_27_1417,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.83049836913203,
scan_order1.xlsx,cl004.jpg,1,animal,familiar,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.63267235706007,90.66762522533281,None,1,1,0.5349538013288111,90.66762522533281,None,92.64346967135316,None,66.1315741511371,,,,,,,P025_real,2023_Jul_27_1417,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.83049836913203,
scan_order1.xlsx,cl005.jpg,2,scene,familiar,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.13185220157538,93.18591092931092,None,2,1,0.7636897852844413,93.18591092931092,None,95.14129689690708,None,68.63074404306462,,,,,,,P025_real,2023_Jul_27_1417,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.83049836913203,
scan_order1.xlsx,cl006.jpg,2,scene,familiar,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.63102333757524,95.65291529974093,None,2,1,0.7127508829817089,95.65291529974093,None,97.6418949852632,None,71.13017052516079,,,,,,,P025_real,2023_Jul_27_1417,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.83049836913203,
scan_order1.xlsx,cl007.jpg,1,animal,familiar,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1304967834476,98.15763998004513,None,1,1,0.6289130778259278,98.15763998004513,None,100.142860075317,None,73.63144476748857,,,,,,,P025_real,2023_Jul_27_1417,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.83049836913203,
