trialOrderFile,im_fName,key_correct,im_type,im_familiarity,loop_waitScanner.thisRepN,loop_waitScanner.thisTrialN,loop_waitScanner.thisN,loop_waitScanner.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,txt_checkLeft.started,txt_checkLeft.stopped,key_checkLeft.keys,key_checkLeft.rt,key_checkLeft.started,key_checkLeft.stopped,time_expBegin,txt_checkRight.started,txt_checkRight.stopped,key_checkRight.keys,key_checkRight.rt,key_checkRight.started,key_checkRight.stopped,str_keyInst.started,str_keyInst.stopped,key_moveToWaitScanner.keys,key_moveToWaitScanner.rt,key_moveToWaitScanner.started,key_moveToWaitScanner.stopped,str_waitScanner.started,str_waitScanner.stopped,time_vol1,str_fixRest.started,str_fixRest.stopped,str_bangRest.started,str_bangRest.stopped,time_restBegin,time_restEnd,time_trialBegin,im_trialImage.started,im_trialImage.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,str_fixITI.started,str_fixITI.stopped,time_trialEnd,str_end.started,str_end.stopped,key_end.keys,key_end.rt,key_end.started,key_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,2146.119577610836,None,1,20.525115745851508,2146.119577610836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,2023_Nov_09_1353,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.98395354827143,
,,,,,,,,,,,,,,,,,,,,,,,1.088567660190165e-05,2166.662347437232,None,2,2.3431918174537714,2166.662347437232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,2023_Nov_09_1353,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.98395354827143,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2169.0284722667147,None,1,4.8710358250755235,2169.0284722667147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,2023_Nov_09_1353,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.98395354827143,
scan_order1.xlsx,cl001.jpg,2,scene,familiar,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2186.8910172634405,None,41.58885014278894,2187.690711158193,2199.190150701317,2199.1815248905677,None,41.588877201473224,53.591065533642904,53.604905583853906,2199.746294670933,None,2,1,0.9411103515321884,2199.746294670933,None,2201.6959421926986,None,56.091547613641524,,,,,,,P046,2023_Nov_09_1353,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.98395354827143,
scan_order1.xlsx,cl002.jpg,1,animal,familiar,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.09181788945898,2202.214645030501,None,1,1,0.5428279870156985,2202.214645030501,None,2204.195428388726,None,58.5895794831722,,,,,,,P046,2023_Nov_09_1353,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.98395354827143,
scan_order1.xlsx,cl003.jpg,2,scene,familiar,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.58985193612534,2204.712193264939,None,2,1,1.5490661021867709,2204.712193264939,None,2206.6955220055515,None,61.08915276461994,,,,,,,P046,2023_Nov_09_1353,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.98395354827143,
scan_order1.xlsx,cl004.jpg,1,animal,familiar,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.08945103217957,2207.2199522647497,None,1,1,0.49732367846445413,2207.2199522647497,None,2209.195600693449,None,63.59675563271594,,,,,,,P046,2023_Nov_09_1353,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.98395354827143,
scan_order1.xlsx,cl005.jpg,2,scene,familiar,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.597029329746874,2209.7359722496094,None,2,1,0.7292856445292273,2209.7359722496094,None,2211.688187547159,None,66.0961786918142,,,,,,,P046,2023_Nov_09_1353,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.98395354827143,
scan_order1.xlsx,cl006.jpg,2,scene,familiar,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.09644958967147,2212.243371089009,None,2,1,0.6248938646458555,2212.243371089009,None,2214.193165100891,None,68.59558526688852,,,,,,,P046,2023_Nov_09_1353,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.98395354827143,
scan_order1.xlsx,cl007.jpg,1,animal,familiar,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.59588166833237,2214.721041765544,None,1,1,0.537208178317087,2214.721041765544,None,2216.6930319846088,None,71.10330570030055,,,,,,,P046,2023_Nov_09_1353,Hipp_fMRI_OHBA_201806_v1842_L1R2,2021.1.4,119.98395354827143,
