CondFile,Instructions,LettersDisplayed,Correctness,Targets,ISI,Prompt_Looper.thisRepN,Prompt_Looper.thisTrialN,Prompt_Looper.thisN,Prompt_Looper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,InstrKey1.keys,InstrKey1.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,TextInstru.started,TextInstru.stopped,ContinueButton.keys,ContinueButton.rt,key_resp_7.keys,key_resp_7.rt,key_resp_5.keys,key_resp_5.rt,Scanner_control.keys,Scanner_control.rt,Scanner_control.started,Scanner_control.stopped,time_ScannerPromptBegin,time_ScannerPromptEnd,time_vol1,time_InitialRestBegin,time_InitialRestEnd,PreInstrWarning.started,PreInstrWarning.stopped,time_InstructionsBegin,time_InstructionsEnd,time_TransitionBegin,time_TaskStartTimer,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Fixation.started,Fixation.stopped,time_trialBegin,time_trialEnd,time_TaskBlockEnd,FixationPoint.started,FixationPoint.stopped,time_RestBlockBegin,time_RestBlockEnd,PreInstrWarning2.started,PreInstrWarning2.stopped,EndExperimentText.started,EndExperimentText.stopped,participant,Task Version (1 or 2),Pre or post,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,2,19.891056762899098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,1,NA,2023_Apr_18_1600,N-Back for Neuroimaging,2021.1.4,120.06325733929017,
,,,,,,,,,,,,,,,,,,,,1,1.7600236872349342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,1,NA,2023_Apr_18_1600,N-Back for Neuroimaging,2021.1.4,120.06325733929017,
,,,,,,,,,,,,,,,,,,,,,,2,1.0890631910478987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,1,NA,2023_Apr_18_1600,N-Back for Neuroimaging,2021.1.4,120.06325733929017,
,,,,,,,,,,,,,,,,,,,,1,1.9100923914083978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,1,NA,2023_Apr_18_1600,N-Back for Neuroimaging,2021.1.4,120.06325733929017,
,,,,,,,,,,,,,,,,,,,,,,,,1,8.405296783996164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,1,NA,2023_Apr_18_1600,N-Back for Neuroimaging,2021.1.4,120.06325733929017,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,14.784930428082589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,1,NA,2023_Apr_18_1600,N-Back for Neuroimaging,2021.1.4,120.06325733929017,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.61170944323021,None,2,13.102055402498081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,1,NA,2023_Apr_18_1600,N-Back for Neuroimaging,2021.1.4,120.06325733929017,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13.049687518854626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,1,NA,2023_Apr_18_1600,N-Back for Neuroimaging,2021.1.4,120.06325733929017,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.008334696634847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,1,NA,2023_Apr_18_1600,N-Back for Neuroimaging,2021.1.4,120.06325733929017,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,P,1,Three,1.5,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,5,1.4830609529490175,198.6456432097948,None,186.4588875957379,187.96081622675047,187.96082027000375,187.9608467066464,207.95950341405842,219.1390290722229,None,210.5241021337788,216.96125258690518,216.96355848438907,219.96511264810033,232.2847316867119,232.78532013532822,1,1,0.46807479642302496,232.2847316867119,None,232.88609133891805,None,220.0087542617439,222.0669562464209,,,,,,,,,,P001,1,NA,2023_Apr_18_1600,N-Back for Neuroimaging,2021.1.4,120.06325733929017,
