CondFile,Instructions,LettersDisplayed,Correctness,Targets,ISI,Prompt_Looper.thisRepN,Prompt_Looper.thisTrialN,Prompt_Looper.thisN,Prompt_Looper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,InstrKey1.keys,InstrKey1.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,TextInstru.started,TextInstru.stopped,ContinueButton.keys,ContinueButton.rt,key_resp_7.keys,key_resp_7.rt,key_resp_5.keys,key_resp_5.rt,Scanner_control.keys,Scanner_control.rt,Scanner_control.started,Scanner_control.stopped,time_ScannerPromptBegin,time_ScannerPromptEnd,time_vol1,time_InitialRestBegin,time_InitialRestEnd,PreInstrWarning.started,PreInstrWarning.stopped,time_InstructionsBegin,time_InstructionsEnd,time_TransitionBegin,time_TaskStartTimer,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Fixation.started,Fixation.stopped,time_trialBegin,time_trialEnd,time_TaskBlockEnd,FixationPoint.started,FixationPoint.stopped,time_RestBlockBegin,time_RestBlockEnd,PreInstrWarning2.started,PreInstrWarning2.stopped,EndExperimentText.started,EndExperimentText.stopped,participant,Task Version (1 or 2),Pre or post,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,1,0.9839094637918606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
,,,,,,,,,,,,,,,,,,,,1,0.6706856462515134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
,,,,,,,,,,,,,,,,,,,,,,2,1.2188328475240269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
,,,,,,,,,,,,,,,,,,,,1,0.6538237844470132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
,,,,,,,,,,,,,,,,,,,,,,,,1,2.3375059560021327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.7212367086303857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.212894884492925,None,1,1.263775004323179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2864442014342785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9098236401350732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,P,1,Three,1.5,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,5,1.4838111819826736,71.67421446086155,None,60.62367459514644,62.12258229857434,62.12258665283116,62.12261122328346,82.10888193866413,92.16066027959278,None,84.74648455918032,91.13166527952308,91.1339130094002,94.12266129724412,105.29859662283707,105.79851015972599,1,1,0.7141868548696948,105.29859662283707,None,105.89888232432713,None,94.15459044476847,96.22391426591457,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,B,1,Three,1.2,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.36481648049084,107.8646653255546,1,1,0.5379336684873124,107.36481648049084,None,107.96474015657805,None,96.22602234853548,98.31403370941553,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,t,1,Three,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.45664870224391,109.95586649100369,1,1,0.4871129531693441,109.45664870224391,109.36589073799587,110.05577586024629,111.45548735958982,98.31626962059454,100.41355679382286,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,x,2,Three,1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.55602965124854,112.05533919043046,2,1,0.5406933346257574,111.55602965124854,111.46548411255935,112.15526908688662,None,100.41591244707888,102.50533800856101,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,T,1,Three,1.8,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.64720313606085,114.14651640746342,1,1,0.40752272611280205,113.64720313606085,113.55818500866553,114.24649482278801,115.64618486186373,102.50853434451528,104.6042533630407,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,t,1,Three,1.8,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.74698840896599,116.2460506885327,1,1,0.41368182321457425,115.74698840896599,115.65686865444695,116.3460113758083,117.74567404526715,104.60623268405107,106.70372544043312,,,,,,,,,,P025_real,1,NA,2023_Jul_27_1428,N-Back for Neuroimaging,2021.1.4,120.09726579914651,
