CondFile,Instructions,LettersDisplayed,Correctness,Targets,ISI,Prompt_Looper.thisRepN,Prompt_Looper.thisTrialN,Prompt_Looper.thisN,Prompt_Looper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,InstrKey1.keys,InstrKey1.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,TextInstru.started,TextInstru.stopped,ContinueButton.keys,ContinueButton.rt,key_resp_7.keys,key_resp_7.rt,key_resp_5.keys,key_resp_5.rt,Scanner_control.keys,Scanner_control.rt,Scanner_control.started,Scanner_control.stopped,time_ScannerPromptBegin,time_ScannerPromptEnd,time_vol1,time_InitialRestBegin,time_InitialRestEnd,PreInstrWarning.started,PreInstrWarning.stopped,time_InstructionsBegin,time_InstructionsEnd,time_TransitionBegin,time_TaskStartTimer,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Fixation.started,Fixation.stopped,time_trialBegin,time_trialEnd,time_TaskBlockEnd,FixationPoint.started,FixationPoint.stopped,time_RestBlockBegin,time_RestBlockEnd,PreInstrWarning2.started,PreInstrWarning2.stopped,EndExperimentText.started,EndExperimentText.stopped,participant,Task Version (1 or 2),Pre or post,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,1,1.8903236601854587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,1,NA,2023_Jul_31_1423,N-Back for Neuroimaging,2021.1.4,123.468236506392,
,,,,,,,,,,,,,,,,,,,,1,1.4849264001513802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,1,NA,2023_Jul_31_1423,N-Back for Neuroimaging,2021.1.4,123.468236506392,
,,,,,,,,,,,,,,,,,,,,,,2,1.0941097727572924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,1,NA,2023_Jul_31_1423,N-Back for Neuroimaging,2021.1.4,123.468236506392,
,,,,,,,,,,,,,,,,,,,,1,0.9009058155825187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,1,NA,2023_Jul_31_1423,N-Back for Neuroimaging,2021.1.4,123.468236506392,
,,,,,,,,,,,,,,,,,,,,,,,,1,6.195788536040709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,1,NA,2023_Jul_31_1423,N-Back for Neuroimaging,2021.1.4,123.468236506392,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,8.136211660525078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,1,NA,2023_Jul_31_1423,N-Back for Neuroimaging,2021.1.4,123.468236506392,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.734964033610595,None,2,6.615148120316007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,1,NA,2023_Jul_31_1423,N-Back for Neuroimaging,2021.1.4,123.468236506392,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.8014524026948493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,1,NA,2023_Jul_31_1423,N-Back for Neuroimaging,2021.1.4,123.468236506392,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.0754230498405377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,1,NA,2023_Jul_31_1423,N-Back for Neuroimaging,2021.1.4,123.468236506392,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,P,1,Three,1.5,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,5,1.4839684575636056,96.3829926002054,None,74.92852006578687,76.43146978251025,76.43147382577445,76.43149964046097,96.4236693928633,116.87801192078769,None,98.80174320669539,105.43253658221147,105.43485243951909,108.43936689947623,130.0429043201966,130.54413440556527,1,1,0.71402521255186,130.0429043201966,None,130.64166477981053,None,108.49604413254019,110.5376922416599,,,,,,,,,,P026,1,NA,2023_Jul_31_1423,N-Back for Neuroimaging,2021.1.4,123.468236506392,
