CondFile,Instructions,LettersDisplayed,Correctness,Targets,ISI,Prompt_Looper.thisRepN,Prompt_Looper.thisTrialN,Prompt_Looper.thisN,Prompt_Looper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,InstrKey1.keys,InstrKey1.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,TextInstru.started,TextInstru.stopped,ContinueButton.keys,ContinueButton.rt,key_resp_7.keys,key_resp_7.rt,key_resp_5.keys,key_resp_5.rt,Scanner_control.keys,Scanner_control.rt,Scanner_control.started,Scanner_control.stopped,time_ScannerPromptBegin,time_ScannerPromptEnd,time_vol1,time_InitialRestBegin,time_InitialRestEnd,PreInstrWarning.started,PreInstrWarning.stopped,time_InstructionsBegin,time_InstructionsEnd,time_TransitionBegin,time_TaskStartTimer,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Fixation.started,Fixation.stopped,time_trialBegin,time_trialEnd,time_TaskBlockEnd,FixationPoint.started,FixationPoint.stopped,time_RestBlockBegin,time_RestBlockEnd,PreInstrWarning2.started,PreInstrWarning2.stopped,EndExperimentText.started,EndExperimentText.stopped,participant,Task Version (1 or 2),Pre or post,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,1,2.0498528251828247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P037,1,NA,2023_Sep_15_1412,N-Back for Neuroimaging,2021.1.4,120.01582680249608,
,,,,,,,,,,,,,,,,,,,,1,1.0016505848416273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P037,1,NA,2023_Sep_15_1412,N-Back for Neuroimaging,2021.1.4,120.01582680249608,
,,,,,,,,,,,,,,,,,,,,,,2,0.5136419733116782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P037,1,NA,2023_Sep_15_1412,N-Back for Neuroimaging,2021.1.4,120.01582680249608,
,,,,,,,,,,,,,,,,,,,,1,0.5194863561609964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P037,1,NA,2023_Sep_15_1412,N-Back for Neuroimaging,2021.1.4,120.01582680249608,
,,,,,,,,,,,,,,,,,,,,,,,,1,4.291702848697241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P037,1,NA,2023_Sep_15_1412,N-Back for Neuroimaging,2021.1.4,120.01582680249608,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.643439150739141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P037,1,NA,2023_Sep_15_1412,N-Back for Neuroimaging,2021.1.4,120.01582680249608,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.048303632966054,None,1,2.253649823465821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P037,1,NA,2023_Sep_15_1412,N-Back for Neuroimaging,2021.1.4,120.01582680249608,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.2928582891890983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P037,1,NA,2023_Sep_15_1412,N-Back for Neuroimaging,2021.1.4,120.01582680249608,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9180116222087236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P037,1,NA,2023_Sep_15_1412,N-Back for Neuroimaging,2021.1.4,120.01582680249608,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,P,1,Three,1.5,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,5,1.4890943834707286,72.54649660490213,None,54.10185262364212,55.6057655702989,55.605769302543194,55.605797916412484,75.60064368765597,93.0383450733134,None,78.21712795127132,84.61084826438127,84.61314421638963,87.60613568448025,106.18417752542155,106.68799965414473,1,1,0.962329218742525,106.18417752542155,None,106.78830246352845,None,87.64942380375396,89.71149008591601,,,,,,,,,,P037,1,NA,2023_Sep_15_1412,N-Back for Neuroimaging,2021.1.4,120.01582680249608,
